P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Max (K),P. Mag,P. Appar Size (deg),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Teff (K),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Confirmed
Warm,Superterran,rocky-iron,metals-rich,mesoplanet,8.3,1.22,2.32,2.09,0.9960187,1.234564,1.549138,284.2,-18.8,3.6,0.11,0.1,11.5,0.43,3371.0,-0.11655,3.9557894736842094,10.9,11.69,4.8972,-17.7734,-27.0,1.745,2,2,0.244,-0.87,-0.14,0.74,0.46,0.75,0,0
Warm,Superterran,rocky-iron,metals-rich,mesoplanet,6.4,1.16,2.04,1.9,0.6584886,0.785473,0.9446748,251.2,-18.16,3.36,0.09,0.13,234.9,0.43,3371.0,-0.11655,3.9557894736842094,10.9,11.69,4.8972,-17.7734,-26.5,1.3905,2,2,0.244,-0.53,-0.14,0.64,0.54,0.77,0,0
Warm,Terran,rocky-iron,metals-rich,mesoplanet,2.89,1.0,1.43,1.43,1.003524,1.220269,1.498954,281.9,-18.17,2.7,0.1,0.09,0.0,0.29,3382.0,0.09,3.9557894736842094,9.9,3.8,7.4568,5.2258,-27.0,1.7227,2,1,0.215,-0.86,-0.16,-0.05,0.53,0.86,0,1
Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,9.9,1.28,2.53,2.24,0.6164306,0.6804333,0.7529997,237.3,-18.25,3.76,0.05,0.12,246.4,0.35,3323.0,-0.11655,3.9557894736842094,11.5,12.67,11.2667,-56.4523,-26.3,1.3345,1,1,0.21,-0.41,-0.13,1.11,0.46,0.71,0,0
Warm,Terran,rocky-iron,metals-rich,mesoplanet,3.8,1.05,1.61,1.57,0.8427715,0.8769776,0.9129552,249.0,-17.97,2.92,0.02,0.12,292.0,0.33,3350.0,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-26.6,1.4848,6,3,0.251,-0.62,-0.15,0.21,0.6,0.84,0,1
Warm,Superterran,rocky-iron,metals-rich,mesoplanet,5.4,1.12,1.89,1.79,0.9315086,0.9886534,1.05028,257.9,-18.31,3.21,0.03,0.16,80.0,0.45,3472.0,-0.31,3.9557894736842094,8.7,4.94,21.5594,-49.0089,-26.7,1.4679,2,1,0.342,-0.71,-0.15,0.44,0.54,0.81,1,1
Warm,Terran,rocky-iron,metals-rich,mesoplanet,2.02,0.95,1.23,1.25,0.776563,1.207001,1.981179,302.3,-17.95,2.44,0.23,0.03,0.0,0.16,3159.0,-0.27,3.9557894736842094,12.2,5.32,5.0326,-6.9461,-27.0,1.9856,2,1,0.077,-0.84,-0.16,-0.25,0.53,0.89,0,1
Warm,Superterran,rocky-iron,metals-rich,mesoplanet,9.49,1.26,2.47,2.2,1.146929,1.146929,1.146929,263.7,-18.79,3.72,0.0,0.4,0.0,0.74,4655.0,0.15,3.9557894736842094,12.1,47.51,4.795,26.15,-26.9,0.8793,1,1,0.836,-0.76,-0.14,0.89,0.46,0.77,0,0
Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,16.46,1.46,3.28,2.71,0.924324,0.924324,0.9243242,249.8,-18.85,4.26,0.0,0.15,0.0,0.41,3503.0,0.09,3.9557894736842094,13.5,34.0,11.504000000000001,7.5884,-26.6,1.3940000000000001,2,1,0.304,-0.66,-0.12,1.59,0.37,0.73,0,1
Warm,Terran,rocky-iron,metals-rich,mesoplanet,2.73,0.99,1.39,1.4,1.461332,1.461332,1.461333,280.1,-18.32,2.66,0.0,0.12,0.0,0.41,3497.0,-0.11655,3.9557894736842094,15.3,55.52,22.3081,-9.6124,-27.1,1.7588,4,1,0.311,-0.99,-0.16,-0.12,0.5,0.82,0,1
Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,20.36,1.57,3.68,2.94,1.106029,1.106029,1.106029,261.3,-19.15,4.47,0.0,0.85,0.0,0.97,5518.0,-0.29,9.9,12.0,190.0,19.2811,47.8844,-26.8,0.6145,1,1,1.615,-0.64,-0.12,1.79,0.34,0.71,0,1
Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,13.85,1.39,2.99,2.54,0.7885342,1.272237,2.189932,309.9,-19.14,4.09,0.25,0.26,0.0,0.64,4017.0,0.03,1.0,15.0,326.0,19.6869,42.4753,-27.0,1.2639,1,1,0.614,-0.84,-0.13,1.24,0.4,0.73,0,1
